# Table format: 3D	
# Getriebe: VOITH D 857.8 Diff.3 
# 
# Autor: Ebners, araev 
# Datum: 10-Jan-2024 14:29:50 

 10
 28
  7
  0  380  760  1140  1520  1900  2280  2660  3040  3420  
-550  -4.888889e+02  -4.277778e+02  -3.666667e+02  -3.055556e+02  -2.444445e+02  -1.833334e+02  -1.222223e+02  -6.111120e+01  -1.000000e-04  6.111100e+01  1.222221e+02  1.833332e+02  2.444443e+02  3.055554e+02  3.666665e+02  4.277776e+02  4.888887e+02  5.499998e+02  6.111109e+02  6.722220e+02  7.333331e+02  7.944442e+02  8.555553e+02  9.166664e+02  9.777775e+02  1.038889e+03  1.100000e+03  
  1   2   3   4
  5   6   7 
  0.9999    1.0000    1.0000    0.9999    0.9996    0.9993    0.9988    0.9982    0.9976    0.9968  
  0.9999    1.0000    1.0000    0.9998    0.9996    0.9992    0.9987    0.9980    0.9973    0.9964  
  0.9999    1.0000    1.0000    0.9998    0.9995    0.9990    0.9985    0.9978    0.9969    0.9959  
  0.9999    1.0000    1.0000    0.9998    0.9994    0.9989    0.9982    0.9974    0.9964    0.9952  
  0.9998    1.0000    1.0000    0.9997    0.9993    0.9987    0.9979    0.9969    0.9957    0.9943  
  0.9998    1.0000    0.9999    0.9997    0.9991    0.9983    0.9973    0.9961    0.9946    0.9928  
  0.9997    1.0000    0.9999    0.9995    0.9988    0.9978    0.9964    0.9948    0.9928    0.9905  
  0.9996    1.0000    0.9999    0.9993    0.9982    0.9967    0.9947    0.9922    0.9892    0.9858  
  0.9992    1.0000    0.9998    0.9986    0.9965    0.9934    0.9894    0.9845    0.9786    0.9719  
  0.9509    0.9970    0.9862    0.9220    0.8230    0.7117    0.6042    0.5089    0.4283    0.3617  
  0.9992    1.0000    0.9998    0.9986    0.9965    0.9934    0.9894    0.9845    0.9786    0.9719  
  0.9996    1.0000    0.9999    0.9993    0.9982    0.9967    0.9947    0.9922    0.9892    0.9858  
  0.9997    1.0000    0.9999    0.9995    0.9988    0.9978    0.9964    0.9948    0.9928    0.9905  
  0.9998    1.0000    0.9999    0.9997    0.9991    0.9983    0.9973    0.9961    0.9946    0.9928  
  0.9998    1.0000    1.0000    0.9997    0.9993    0.9987    0.9979    0.9969    0.9957    0.9943  
  0.9999    1.0000    1.0000    0.9998    0.9994    0.9989    0.9982    0.9974    0.9964    0.9952  
  0.9999    1.0000    1.0000    0.9998    0.9995    0.9990    0.9985    0.9978    0.9969    0.9959  
  0.9999    1.0000    1.0000    0.9998    0.9996    0.9992    0.9987    0.9980    0.9973    0.9964  
  0.9999    1.0000    1.0000    0.9999    0.9996    0.9993    0.9988    0.9982    0.9976    0.9968  
  0.9999    1.0000    1.0000    0.9999    0.9997    0.9993    0.9989    0.9984    0.9978    0.9971  
  0.9999    1.0000    1.0000    0.9999    0.9997    0.9994    0.9990    0.9986    0.9980    0.9974  
